,time_histo_el_s,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
194,389.0,205483,242979,10,0,0,0,205483,242979
195,391.0,206300,248493,8,1,0,0,206300,248493
196,393.0,205287,245414,2,1,0,0,205287,245414
197,395.0,208224,241057,2,0,0,0,208224,241057
198,397.0,215229,245048,7,0,1,0,215229,245048
199,399.0,216898,240232,6,1,0,0,216898,240232
200,401.0,218147,236718,3,0,0,0,218147,236718
201,403.0,218491,230611,1,0,0,0,218491,230611
202,405.0,215356,230611,9,0,0,0,215356,230611
203,407.0,212020,226910,3,0,1,0,212020,226910
204,409.0,212064,225231,6,0,0,0,212064,225231
205,411.0,213997,226686,8,2,0,0,213997,226686
206,413.0,214457,226593,2,1,0,0,214457,226593
207,415.0,214288,228185,4,0,0,0,214288,228185
208,417.0,214190,227187,4,0,0,0,214190,227187
209,419.0,213691,223185,5,0,0,0,213691,223185
210,421.0,214845,221562,5,0,0,0,214845,221562
211,423.0,219438,220407,3,0,0,0,219438,220407
212,425.0,220352,216488,4,0,1,0,220352,216488
213,427.0,223743,220042,6,1,0,0,223743,220042
214,429.0,221098,224103,0,0,0,0,221098,224103
215,431.0,221257,226762,4,1,0,0,221257,226762
216,433.0,221700,227203,4,0,0,0,221700,227203
217,435.0,216873,221510,1,0,0,0,216873,221510
218,437.0,215300,217935,4,0,0,0,215300,217935
219,439.0,217344,217838,2,1,0,0,217344,217838
220,441.0,220658,221178,0,0,0,0,220658,221178
221,443.0,221766,224993,3,0,0,0,221766,224993
222,445.0,225694,225707,5,2,0,0,225694,225707
223,447.0,223891,221871,8,1,1,0,223891,221871
224,449.0,223428,219480,6,0,0,0,223428,219480
225,451.0,221363,219050,5,0,0,0,221363,219050
226,453.0,222649,220555,9,1,0,0,222649,220555
227,455.0,225495,223466,3,1,0,0,225495,223466
228,457.0,226549,223670,3,0,0,0,226549,223670
229,459.0,227084,221057,4,0,0,0,227084,221057
230,461.0,226550,219999,3,0,0,0,226550,219999
231,463.0,225386,217164,3,0,0,0,225386,217164
232,465.0,226012,217120,1,1,0,0,226012,217120
233,467.0,224541,216767,8,0,0,0,224541,216767
234,469.0,226646,226357,3,1,0,0,226646,226357
235,471.0,225054,234577,4,1,0,0,225054,234577
236,473.0,222168,234764,6,0,1,0,222168,234764
237,476.0,220372,233996,4,1,1,0,220372,233996
238,478.0,217712,238162,2,1,0,0,217712,238162
239,480.0,215288,242971,6,1,1,0,215288,242971
240,482.0,213564,254973,2,0,0,0,213564,254973
241,484.0,214939,266905,0,0,0,0,214939,266905
242,486.0,215082,267674,5,1,0,0,215082,267674
243,488.0,214286,273640,7,1,0,0,214286,273640
244,490.0,216284,272970,5,0,0,0,216284,272970
245,492.0,214371,264622,2,0,0,0,214371,264622
246,494.0,213856,258406,3,0,0,0,213856,258406
247,496.0,210126,269662,8,0,2,0,210126,269662
248,498.0,215149,283665,4,0,1,0,215149,283665
249,500.0,214679,287658,8,0,0,0,214679,287658
250,502.0,213274,288215,8,1,1,0,213274,288215
251,504.0,212870,282681,6,0,0,0,212870,282681
252,506.0,214404,288082,6,1,1,0,214404,288082
253,508.0,213998,283177,4,0,0,0,213998,283177
254,510.0,212821,270652,7,0,1,0,212821,270652
255,512.0,209415,254289,7,0,0,0,209415,254289
256,514.0,211458,244659,7,0,0,0,211458,244659
257,516.0,215283,226108,8,0,1,0,215283,226108
258,518.0,215696,205207,3,1,0,0,215696,205207
259,520.0,216137,192908,11,0,0,0,216137,192908
260,522.0,215731,195501,4,0,0,0,215731,195501
261,524.0,217150,191232,3,0,0,0,217150,191232
262,526.0,222583,173343,3,0,0,0,222583,173343
263,528.0,227091,162522,2,1,0,0,227091,162522
264,530.0,227329,161708,2,0,0,0,227329,161708
265,532.0,225498,185916,2,0,0,0,225498,185916
266,534.0,222585,181520,4,0,2,0,222585,181520
267,536.0,218735,167592,2,0,0,0,218735,167592
268,538.0,218234,154193,1,1,0,0,218234,154193
269,540.0,218445,156611,5,1,1,0,218445,156611
270,542.0,219671,156857,2,0,0,0,219671,156857
271,544.0,217980,155966,2,0,0,0,217980,155966
272,546.0,219718,165072,0,0,0,0,219718,165072
273,548.0,219065,174971,3,0,0,0,219065,174971
274,550.0,217900,184259,5,1,0,0,217900,184259
275,552.0,211053,178460,4,0,2,0,211053,178460
276,554.0,211173,170476,3,0,0,0,211173,170476
277,556.0,212410,182794,1,0,0,0,212410,182794
278,558.0,213402,212116,6,0,0,0,213402,212116
279,560.0,213173,212141,3,0,1,0,213173,212141
280,562.0,211506,208659,1,0,0,0,211506,208659
281,564.0,208505,208773,9,1,0,0,208505,208773
282,566.0,207951,209252,6,0,1,0,207951,209252
283,568.0,206229,203604,5,0,2,0,206229,203604
284,570.0,202482,205732,6,0,0,0,202482,205732
285,572.0,204019,224981,2,0,0,0,204019,224981
286,574.0,204663,223335,5,0,2,0,204663,223335
287,576.0,207799,223852,4,0,0,0,207799,223852
288,578.0,206660,232854,4,0,1,0,206660,232854
289,580.0,207204,244998,2,0,1,0,207204,244998
290,582.0,208454,251726,1,0,0,0,208454,251726
291,584.0,213145,242063,3,0,1,0,213145,242063
292,586.0,218348,213132,3,1,0,0,218348,213132
293,588.0,215341,199722,0,0,0,0,215341,199722
294,590.0,214557,217692,7,2,1,1,214557,217692
295,592.0,212547,232768,7,0,0,0,212547,232768
296,594.0,210690,225154,4,0,0,0,210690,225154
297,596.0,207212,227557,3,1,0,0,207212,227557
298,598.0,205253,222425,1,0,0,0,205253,222425
299,600.0,206982,209579,3,1,0,0,206982,209579
300,602.0,209676,195314,2,1,0,0,209676,195314
301,604.0,209317,204200,3,0,0,0,209317,204200
302,606.0,209955,212434,6,0,0,0,209955,212434
303,608.0,217245,211592,5,1,0,0,217245,211592
304,610.0,220341,212033,4,0,0,0,220341,212033
305,612.0,219632,217168,4,1,0,0,219632,217168
306,614.0,219360,221294,6,0,0,0,219360,221294
307,616.0,218833,219710,3,1,0,0,218833,219710
308,618.0,219992,220803,2,0,1,0,219992,220803
309,620.0,223593,216526,5,0,0,0,223593,216526
310,622.0,226623,206685,3,1,0,0,226623,206685
311,624.0,223442,205305,1,0,0,0,223442,205305
312,626.0,222697,214175,1,0,0,0,222697,214175
313,628.0,222504,208502,3,0,0,0,222504,208502
314,630.0,222689,203834,4,0,0,0,222689,203834
315,632.0,220513,206457,5,0,1,0,220513,206457
316,634.0,219425,208050,0,0,0,0,219425,208050
317,636.0,221614,220601,4,0,1,0,221614,220601
318,638.0,218712,224369,6,1,0,0,218712,224369
319,640.0,221171,224114,6,0,0,0,221171,224114
320,642.0,223444,223335,6,0,0,0,223444,223335
321,644.0,225008,224701,5,1,0,0,225008,224701
322,646.0,222790,225501,8,2,0,0,222790,225501
323,648.0,222906,226442,5,0,1,0,222906,226442
324,650.0,218006,223062,3,1,0,0,218006,223062
325,652.0,218060,219841,7,0,0,0,218060,219841
326,654.0,221046,222446,4,0,2,0,221046,222446
327,656.0,223137,228921,4,0,0,0,223137,228921
328,658.0,221292,228762,6,0,0,0,221292,228762
329,660.0,220311,227979,5,0,0,0,220311,227979
330,662.0,221276,224371,1,0,0,0,221276,224371
331,664.0,222167,221478,7,0,0,0,222167,221478
332,666.0,218765,215871,8,1,1,0,218765,215871
333,668.0,217681,212148,2,0,0,0,217681,212148
334,670.0,220143,214918,2,0,0,0,220143,214918
335,672.0,220339,214180,8,0,0,0,220339,214180
336,674.0,220011,218390,5,2,0,0,220011,218390
337,676.0,218655,220840,5,1,1,0,218655,220840
338,678.0,212755,233124,3,1,0,0,212755,233124
339,680.0,211554,249924,6,0,0,0,211554,249924
340,682.0,212867,250824,3,1,0,0,212867,250824
341,684.0,214209,243263,4,1,0,0,214209,243263
342,686.0,214086,239542,7,0,0,0,214086,239542
343,688.0,216058,234236,5,0,0,0,216058,234236
344,690.0,220023,232940,2,0,0,0,220023,232940
345,692.0,220083,226260,1,1,0,0,220083,226260
346,694.0,219219,217825,9,0,0,0,219219,217825
347,696.0,218235,209729,1,0,0,0,218235,209729
348,698.0,217975,216819,1,0,0,0,217975,216819
349,700.0,217006,213236,3,0,0,0,217006,213236
350,702.0,215658,218849,7,1,0,0,215658,218849
351,704.0,214536,228653,6,0,0,0,214536,228653
352,706.0,216692,220491,3,0,0,0,216692,220491
353,708.0,216699,213968,3,1,0,0,216699,213968
354,710.0,215870,218069,6,1,0,0,215870,218069
355,712.0,216240,218307,4,0,0,0,216240,218307
356,714.0,215983,215642,5,0,0,0,215983,215642
357,716.0,212034,220519,2,0,0,0,212034,220519
358,718.0,213659,226633,4,0,0,0,213659,226633
359,720.0,215011,229450,7,1,0,0,215011,229450
360,722.0,213134,227475,2,0,0,0,213134,227475
361,724.0,212518,223670,2,0,0,0,212518,223670
362,726.0,209358,222188,6,0,0,0,209358,222188
363,728.0,210815,216878,6,0,1,0,210815,216878
364,730.0,210263,206160,2,1,2,1,210263,206160
365,732.0,204582,203709,4,1,0,0,204582,203709
