,time_histo_el_s,ch0
387,775.0,502
388,777.0,508
389,779.0,499
390,781.0,517
391,783.0,549
392,785.0,503
393,787.0,485
394,789.0,480
395,791.0,494
396,793.0,504
397,795.0,512
398,797.0,485
399,799.0,502
400,801.0,503
401,803.0,513
402,805.0,527
403,807.0,515
404,809.0,531
405,811.0,525
406,813.0,491
407,815.0,532
408,817.0,491
409,819.0,524
410,821.0,499
411,823.0,497
412,825.0,535
413,827.0,534
414,829.0,523
415,831.0,475
416,833.0,510
417,835.0,496
418,837.0,502
419,839.0,535
420,841.0,530
421,843.0,481
422,845.0,498
423,847.0,468
424,849.0,489
425,851.0,508
426,853.0,501
427,855.0,503
428,857.0,531
429,859.0,526
430,861.0,540
431,863.0,496
432,865.0,490
433,867.0,561
434,869.0,467
435,871.0,526
436,873.0,496
437,875.0,515
438,877.0,528
439,879.0,533
440,881.0,484
441,883.0,479
442,885.0,498
443,887.0,495
444,889.0,492
445,891.0,495
446,893.0,535
447,895.0,493
448,897.0,526
449,899.0,500
450,901.0,510
451,903.0,505
452,905.0,486
453,907.0,462
454,909.0,497
455,911.0,489
456,913.0,442
457,915.0,508
458,917.0,506
459,919.0,457
460,921.0,491
461,923.0,482
462,925.0,536
463,927.0,569
464,929.0,544
465,931.0,519
466,933.0,541
467,935.0,502
468,937.0,533
469,939.0,484
470,941.0,527
471,943.0,508
472,945.0,545
473,947.0,498
474,949.0,559
475,951.0,547
476,953.0,517
477,955.0,510
478,957.0,527
479,959.0,496
480,961.0,555
481,963.0,511
482,965.0,498
483,967.0,531
484,969.0,543
485,971.0,495
486,973.0,553
487,975.0,555
488,977.0,496
489,979.0,522
490,981.0,513
491,983.0,500
492,985.0,542
493,987.0,525
494,989.0,525
495,991.0,551
496,993.0,505
497,995.0,562
498,997.0,539
499,999.0,527
500,1001.0,516
501,1003.0,499
502,1005.0,525
503,1007.0,530
504,1009.0,499
505,1011.0,520
506,1013.0,489
507,1015.0,518
508,1017.0,543
509,1019.0,513
510,1021.0,495
511,1023.0,493
512,1025.0,545
513,1027.0,504
514,1029.0,560
515,1031.0,537
516,1033.0,544
517,1035.0,545
518,1037.0,590
519,1039.0,505
520,1041.0,561
521,1043.0,542
522,1045.0,530
523,1047.0,487
524,1049.0,498
525,1051.0,528
526,1053.0,563
527,1055.0,521
528,1057.0,536
529,1059.0,524
530,1061.0,560
531,1063.0,540
532,1065.0,574
