,time_histo_el_s,ch0
729,1459.0,188
730,1461.0,212
731,1463.0,219
732,1465.0,193
733,1467.0,176
734,1469.0,213
735,1471.0,204
736,1473.0,181
737,1475.0,225
738,1477.0,203
739,1479.0,183
740,1481.0,243
741,1483.0,233
742,1485.0,201
743,1487.0,217
744,1489.0,192
745,1491.0,212
746,1493.0,219
747,1495.0,210
748,1497.0,195
749,1499.0,184
750,1501.0,186
751,1503.0,192
752,1505.0,188
753,1507.0,180
754,1509.0,204
755,1511.0,225
756,1513.0,215
757,1515.0,204
758,1517.0,233
759,1519.0,194
760,1521.0,229
761,1523.0,196
762,1525.0,194
763,1527.0,199
764,1529.0,198
765,1531.0,183
766,1533.0,183
767,1535.0,176
768,1537.0,210
769,1539.0,189
770,1541.0,208
771,1543.0,212
772,1545.0,202
773,1547.0,213
774,1549.0,193
775,1551.0,220
776,1553.0,183
777,1555.0,226
778,1557.0,171
779,1559.0,192
780,1561.0,194
781,1563.0,159
782,1565.0,199
783,1567.0,204
784,1569.0,227
785,1571.0,180
786,1573.0,223
787,1575.0,193
788,1577.0,197
789,1579.0,175
790,1581.0,218
791,1583.0,169
792,1585.0,182
793,1587.0,211
794,1589.0,180
795,1591.0,201
796,1593.0,200
797,1595.0,198
798,1597.0,209
799,1599.0,177
800,1601.0,210
801,1603.0,206
802,1605.0,217
803,1607.0,186
804,1609.0,215
805,1611.0,219
806,1613.0,202
807,1615.0,213
808,1617.0,195
809,1619.0,203
810,1621.0,174
811,1623.0,218
812,1625.0,199
813,1627.0,183
814,1629.0,196
815,1631.0,175
816,1633.0,192
817,1635.0,214
818,1637.0,181
819,1639.0,225
820,1641.0,228
821,1643.0,196
822,1645.0,221
823,1647.0,185
824,1649.0,195
825,1651.0,192
826,1653.0,201
827,1655.0,213
828,1657.0,209
829,1659.0,197
830,1661.0,196
831,1663.0,222
832,1665.0,205
833,1667.0,226
834,1669.0,221
835,1671.0,226
836,1673.0,195
837,1675.0,201
838,1677.0,200
839,1679.0,221
840,1681.0,213
841,1683.0,183
842,1685.0,218
843,1687.0,192
844,1689.0,213
845,1691.0,210
846,1693.0,205
847,1695.0,204
848,1697.0,188
849,1699.0,215
850,1701.0,219
851,1703.0,214
852,1705.0,225
853,1707.0,190
854,1709.0,240
855,1711.0,196
856,1713.0,197
857,1715.0,210
858,1717.0,234
859,1719.0,199
860,1721.0,192
861,1723.0,195
862,1725.0,216
863,1727.0,190
864,1729.0,171
865,1731.0,208
866,1733.0,188
867,1735.0,201
868,1737.0,191
869,1739.0,205
870,1741.0,197
871,1743.0,209
872,1745.0,207
873,1747.0,214
874,1749.0,187
875,1751.0,208
876,1753.0,209
877,1755.0,207
878,1757.0,217
879,1759.0,196
880,1761.0,195
881,1763.0,197
882,1765.0,202
883,1767.0,195
884,1769.0,200
885,1771.0,192
886,1773.0,199
887,1775.0,175
888,1777.0,212
889,1779.0,177
890,1781.0,208
891,1783.0,226
892,1785.0,189
893,1787.0,202
894,1789.0,176
895,1791.0,184
896,1793.0,193
897,1795.0,197
898,1797.0,210
899,1799.0,179
900,1801.0,199
901,1803.0,201
902,1805.0,190
903,1807.0,205
