# Time Tags Distribution
# 2022-06-28 13:07:34
# Unit Time Diff: s
# Unit Count: 1
# Time Diff ; Count
  3.5989967E-09 ;   2.0000000E+00
  3.6040134E-09 ;   2.0000000E+00
  3.6090301E-09 ;   3.0000000E+00
  3.6140468E-09 ;   2.0000000E+00
  3.6190635E-09 ;   0.0000000E+00
  3.6240803E-09 ;   4.0000000E+00
  3.6290970E-09 ;   2.0000000E+00
  3.6341137E-09 ;   1.0000000E+00
  3.6391304E-09 ;   1.0000000E+00
  3.6441472E-09 ;   2.0000000E+00
  3.6491639E-09 ;   5.0000000E+00
  3.6541806E-09 ;   2.0000000E+00
  3.6591973E-09 ;   2.0000000E+00
  3.6642140E-09 ;   2.0000000E+00
  3.6692308E-09 ;   2.0000000E+00
  3.6742475E-09 ;   3.0000000E+00
  3.6792642E-09 ;   0.0000000E+00
  3.6842809E-09 ;   0.0000000E+00
  3.6892977E-09 ;   1.0000000E+00
  3.6943144E-09 ;   1.0000000E+00
  3.6993311E-09 ;   0.0000000E+00
  3.7043478E-09 ;   1.0000000E+00
  3.7093645E-09 ;   2.0000000E+00
  3.7143813E-09 ;   2.0000000E+00
  3.7193980E-09 ;   1.0000000E+00
  3.7244147E-09 ;   1.0000000E+00
  3.7294314E-09 ;   2.0000000E+00
  3.7344482E-09 ;   4.0000000E+00
  3.7394649E-09 ;   2.0000000E+00
  3.7444816E-09 ;   2.0000000E+00
  3.7494983E-09 ;   0.0000000E+00
  3.7545151E-09 ;   4.0000000E+00
  3.7595318E-09 ;   1.0000000E+00
  3.7645485E-09 ;   1.0000000E+00
  3.7695652E-09 ;   2.0000000E+00
  3.7745819E-09 ;   6.0000000E+00
  3.7795987E-09 ;   3.0000000E+00
  3.7846154E-09 ;   2.0000000E+00
  3.7896321E-09 ;   1.0000000E+00
  3.7946488E-09 ;   3.0000000E+00
  3.7996656E-09 ;   2.0000000E+00
  3.8046823E-09 ;   0.0000000E+00
  3.8096990E-09 ;   2.0000000E+00
  3.8147157E-09 ;   1.0000000E+00
  3.8197324E-09 ;   3.0000000E+00
  3.8247492E-09 ;   1.0000000E+00
  3.8297659E-09 ;   1.0000000E+00
  3.8347826E-09 ;   5.0000000E+00
  3.8397993E-09 ;   0.0000000E+00
  3.8448161E-09 ;   0.0000000E+00
  3.8498328E-09 ;   2.0000000E+00
  3.8548495E-09 ;   3.0000000E+00
  3.8598662E-09 ;   0.0000000E+00
  3.8648829E-09 ;   4.0000000E+00
  3.8698997E-09 ;   0.0000000E+00
  3.8749164E-09 ;   1.0000000E+00
  3.8799331E-09 ;   1.0000000E+00
  3.8849498E-09 ;   3.0000000E+00
  3.8899666E-09 ;   1.0000000E+00
  3.8949833E-09 ;   4.0000000E+00
  3.9000000E-09 ;   0.0000000E+00
